article_guid,article_link,title,source,source_category,independence_group,source_quality_default,published,classification,triage_confidence,signal_type,vertical_id,use_case_id,technology_id,rationale,prompt_version,model,review_status,processed_at
https://www.automotiveworld.com/?p=502664,https://www.automotiveworld.com/analysis/li-shufu-steps-down-from-geely-amid-historic-shift-in-auto/,"Li Shufu steps down from Geely amid historic shift in auto",Automotive World,industry_media,automotive_world,3,2026-08-19T10:36:30+00:00,IRRELEVANT,HIGH,,,,,Executive succession analysis provides no usable B2B technology or demand signal.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502675,https://www.automotiveworld.com/news/tesla-preps-cybercabs-austin-launch-as-soon-as-this-month/,Tesla preps Cybercab's Austin launch as soon as this month,Automotive World,industry_media,automotive_world,3,2026-08-19T08:56:14+00:00,IRRELEVANT,HIGH,,,,,Consumer robotaxi launch speculation lacks enterprise evidence and regulatory approval.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502679,https://www.automotiveworld.com/news/pro-net-signs-proton-e-mas-charging-deals-with-three-cpos/,PRO-NET signs Proton e.MAS charging deals with three CPOs,Automotive World,industry_media,automotive_world,3,2026-08-19T05:05:36+00:00,IRRELEVANT,MEDIUM,,,,,Public EV charging partnership lacks a supported Orange Business opportunity mapping.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502661,https://www.automotiveworld.com/news/lg-smart-telematics-solution-starts-european-deliveries/,LG smart telematics solution starts European deliveries,Automotive World,industry_media,automotive_world,3,2026-08-19T05:00:47+00:00,RELEVANT,MEDIUM,maturity,manufacturing,,,European volume deliveries indicate a 5G automotive telematics maturity milestone.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502662,https://www.automotiveworld.com/news/dunlop-backs-sustainable-natural-rubber-via-hrpp-study/,Dunlop backs sustainable natural rubber via HRPP study,Automotive World,industry_media,automotive_world,3,2026-08-19T04:50:51+00:00,IRRELEVANT,MEDIUM,,,,,Sustainability commentary contains no specific enterprise technology demand or adoption evidence.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502660,https://www.automotiveworld.com/news/cedar-electronics-uses-tomtom-orbis-maps-for-speed-data/,Cedar Electronics uses TomTom Orbis Maps for speed data,Automotive World,industry_media,automotive_world,3,2026-08-19T04:45:43+00:00,IRRELEVANT,HIGH,,,,,Consumer road-safety product data does not support a target enterprise opportunity.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502659,https://www.automotiveworld.com/news/volvo-100-year-edition-marks-centenary-of-fh-truck-range/,Volvo 100 Year Edition marks centenary of FH truck range,Automotive World,industry_media,automotive_world,3,2026-08-19T04:40:39+00:00,IRRELEVANT,HIGH,,,,,Vehicle anniversary and cab-design history provide no usable market signal.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502694,https://www.automotiveworld.com/news/byd-and-bus-cap-to-explore-malaysian-electric-bus-assembly/,BYD and Bus Cap to explore Malaysian electric bus assembly,Automotive World,industry_media,automotive_world,3,2026-08-19T04:30:24+00:00,RELEVANT,MEDIUM,market_move,manufacturing,,,Named OEM assembly MoU signals a manufacturing expansion and localization move.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502393,https://www.automotiveworld.com/analysis/toyota-faces-five-key-challenges-and-a-multitude-of-issues/,Toyota faces five key challenges and a multitude of issues,Automotive World,industry_media,automotive_world,3,2026-08-18T07:29:33+00:00,IRRELEVANT,MEDIUM,,,,,Broad corporate analysis does not provide a dated demand deployment or maturity claim.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
https://www.automotiveworld.com/?p=502627,https://www.automotiveworld.com/news/einride-tesla-semi-fleet-expands-to-500-trucks-for-amazon/,Einride Tesla Semi fleet expands to 500 trucks for Amazon,Automotive World,industry_media,automotive_world,3,2026-08-18T05:20:46+00:00,RELEVANT,HIGH,proof,,,,Named 500-truck Amazon fleet demonstrates large-scale commercial freight deployment.,1.0-manual-pilot,gpt-5.6-terra,pending_review,2026-08-19T12:10:00+00:00
